Gene,WB_WT_1,WB_WT_2,WB_WT_3,WB_MUT2_1,WB_MUT2_2,WB_MUT2_3,WB_MUT4_1,WB_MUT4_2,WB_MUT4_3
ddc,1089,1171,1021,823,918,786,1051,1302,815
drd3,914,695,711,979,994,977,1106,929,936
gnas,4274,5818,5432,4861,4662,4772,5569,4505,3584
itpr2,1175,1120,1150,1349,1472,1447,1526,1211,947
ppp1r1b,2733,2456,2409,2901,3012,2840,3418,2793,3335
slc18a2,277,323,350,297,245,250,270,196,234
slc6a3,911,761,832,870,971,1016,1359,1176,654
th,705,608,671,1060,1298,1243,773,686,976
