Gene,WB_WT_1,WB_WT_2,WB_WT_3,WB_MUT2_1,WB_MUT2_2,WB_MUT2_3,WB_MUT4_1,WB_MUT4_2,WB_MUT4_3
cyp17a1,30,31,30,24,23,30,62,48,56
cyp1b1,1798,1048,731,848,674,749,994,478,525
