Gene,WB_WT_1,WB_WT_2,WB_WT_3,WB_MUT2_1,WB_MUT2_2,WB_MUT2_3,WB_MUT4_1,WB_MUT4_2,WB_MUT4_3
esr1,361,342,315,524,367,422,630,421,325
gabbr2,1827,2026,2184,2677,2098,3026,2964,1869,1534
gnas,4274,5818,5432,4861,4662,4772,5569,4505,3584
itpr2,1175,1120,1150,1349,1472,1447,1526,1211,947
oprm1,684,718,698,732,668,585,1098,801,990
