Gene,WB_WT_1,WB_WT_2,WB_WT_3,WB_MUT2_1,WB_MUT2_2,WB_MUT2_3,WB_MUT4_1,WB_MUT4_2,WB_MUT4_3
cnr1,2877,3902,3173,4635,3749,3925,5205,4072,3011
fgf14,2372,2422,2048,2716,2634,2650,3668,2666,1535
gnas,4274,5818,5432,4861,4662,4772,5569,4505,3584
rapgef3,472,461,506,480,517,468,1187,554,522
sipa1l2,6956,6912,5934,6354,7296,6871,8100,6581,4863
tek,2561,4340,1889,2148,2449,2263,4200,2632,794
