Gene,WB_WT_1,WB_WT_2,WB_WT_3,WB_MUT2_1,WB_MUT2_2,WB_MUT2_3,WB_MUT4_1,WB_MUT4_2,WB_MUT4_3
dbh,561,135,340,467,401,447,189,410,424
ddc,1089,1171,1021,823,918,786,1051,1302,815
th,705,608,671,1060,1298,1243,773,686,976
