Gene,WB_WT_1,WB_WT_2,WB_WT_3,WB_MUT2_1,WB_MUT2_2,WB_MUT2_3,WB_MUT4_1,WB_MUT4_2,WB_MUT4_3
chrna7,198,75,140,248,208,268,139,200,222
cyp1b1,1798,1048,731,848,674,749,994,478,525
ephx1,1501,1272,1233,1608,1478,1438,2426,1933,2348
gstp1,11941,10017,11946,9897,9973,10258,22493,13203,12372
