Gene,WB_WT_1,WB_WT_2,WB_WT_3,WB_MUT2_1,WB_MUT2_2,WB_MUT2_3,WB_MUT4_1,WB_MUT4_2,WB_MUT4_3
cyp1b1,1798,1048,731,848,674,749,994,478,525
ddc,1089,1171,1021,823,918,786,1051,1302,815
tph2,1516,2271,1606,606,1164,694,771,1314,728
