Gene,MB_WT_1,MB_WT_2,MB_WT_3,MB_MUT2_1,MB_MUT2_2,MB_MUT2_3,MB_MUT4_1,MB_MUT4_2,MB_MUT4_3
cnr1,2257,2616,2460,3344,3987,3091,3636,2727,2838
fgf14,1675,1921,2004,2424,2034,1830,2226,2106,1700
gnas,5492,5806,5558,3810,4316,3887,3490,4248,3842
rapgef3,331,348,302,473,468,362,467,477,318
sipa1l2,6258,5693,5211,4586,6244,4876,5444,5653,6027
tek,1120,883,716,1555,1940,1305,1405,1354,1291
