Gene,MB_WT_1,MB_WT_2,MB_WT_3,MB_MUT2_1,MB_MUT2_2,MB_MUT2_3,MB_MUT4_1,MB_MUT4_2,MB_MUT4_3
esr1,650,572,633,427,355,394,614,572,384
gabbr2,3160,4419,3985,3390,3488,3132,3080,3723,3363
gnas,5492,5806,5558,3810,4316,3887,3490,4248,3842
itpr2,1164,1265,1162,1714,1547,1596,1364,2074,1539
oprm1,419,395,456,447,496,467,457,594,737
