Gene,MB_WT_1,MB_WT_2,MB_WT_3,MB_MUT2_1,MB_MUT2_2,MB_MUT2_3,MB_MUT4_1,MB_MUT4_2,MB_MUT4_3
ddc,1124,493,700,956,1063,615,1539,1100,1018
drd3,592,589,500,571,448,471,477,561,735
gnas,5492,5806,5558,3810,4316,3887,3490,4248,3842
itpr2,1164,1265,1162,1714,1547,1596,1364,2074,1539
ppp1r1b,1633,1848,1756,1556,1775,2002,1720,2096,2884
slc18a2,580,314,430,737,731,434,581,385,309
slc6a3,940,602,565,1066,1181,405,766,857,589
th,551,341,401,1267,1505,796,689,856,572
