Gene,MB_WT_1,MB_WT_2,MB_WT_3,MB_MUT2_1,MB_MUT2_2,MB_MUT2_3,MB_MUT4_1,MB_MUT4_2,MB_MUT4_3
cyp1b1,966,786,924,685,727,1037,696,716,699
ddc,1124,493,700,956,1063,615,1539,1100,1018
tph2,2567,359,807,588,726,735,1688,473,774
