Gene,MB_WT_1,MB_WT_2,MB_WT_3,MB_MUT2_1,MB_MUT2_2,MB_MUT2_3,MB_MUT4_1,MB_MUT4_2,MB_MUT4_3
dbh,37,51,110,72,75,78,171,46,86
ddc,1124,493,700,956,1063,615,1539,1100,1018
th,551,341,401,1267,1505,796,689,856,572
