Gene,MB_WT_1,MB_WT_2,MB_WT_3,MB_MUT2_1,MB_MUT2_2,MB_MUT2_3,MB_MUT4_1,MB_MUT4_2,MB_MUT4_3
chrna7,230,188,140,163,122,121,138,129,103
cyp1b1,966,786,924,685,727,1037,696,716,699
ephx1,1531,1124,1247,978,1050,755,1425,1457,1219
gstp1,8190,5629,5924,9236,10462,9647,7896,10603,8926
