Gene,MB_WT_1,MB_WT_2,MB_WT_3,MB_MUT2_1,MB_MUT2_2,MB_MUT2_3,MB_MUT4_1,MB_MUT4_2,MB_MUT4_3
cyp17a1,30,38,45,39,13,10,46,38,30
cyp1b1,966,786,924,685,727,1037,696,716,699
